layer,head,rank,gene,mean_attention_score
0,0,1,NUPR2,0.002233239123597741
0,0,2,KRT25,0.002182519994676113
0,0,3,PLEKHO1,0.002178588882088661
0,0,4,CLEC4M,0.0021501483861356974
0,0,5,DEFB135,0.0021459260024130344
0,0,6,NUDT19,0.002128096530213952
0,0,7,IL21,0.002121247351169586
0,0,8,NASP,0.0021090174559503794
0,0,9,PPM1F,0.002106358762830496
0,0,10,GSTP1,0.002105084480717778
0,0,11,COG6,0.0021046518813818693
0,0,12,POPDC3,0.002104338724166155
0,0,13,LOC389906,0.002099443692713976
0,0,14,MAML2,0.0020974487997591496
0,0,15,FAM180A,0.0020892510656267405
0,0,16,PCNX4,0.0020880713127553463
0,0,17,WEE1,0.0020876682829111814
0,0,18,PIP4P2,0.00207790220156312
0,0,19,SPOCK3,0.0020761913619935513
0,0,20,DCDC5,0.0020718828309327364
