rank,gene,mean_gate_score,std_gate_score
1,MUC15,0.7116082,0.080473505
2,OR10D1P,0.70499176,0.07832249
3,IL12A,0.704451,0.08089309
4,TBCB,0.69802374,0.07410254
5,TAFA4,0.69789124,0.085243344
6,SLC6A14,0.6962834,0.074952915
7,OR2L1P,0.69567037,0.0854556
8,TGM4,0.6945558,0.087417684
9,SLC22A25,0.6941899,0.0922781
10,PLD2,0.6934272,0.08649216
11,KRTAP20-4,0.6919736,0.10157458
12,ERC1,0.69167334,0.09004095
13,SPATA4,0.69158065,0.10652367
14,IFNA10,0.69125813,0.0948399
15,EPB41L4A-DT,0.6901132,0.11610963
16,TMEM41A,0.68859,0.07894486
17,LOC105378146,0.68439394,0.08986723
18,SNORD100,0.68406606,0.08746529
19,SNORD4A,0.682877,0.12021065
20,ZC2HC1A,0.6828103,0.0742945
