rank_1,rank_2,k,shared_genes,overlap_rate_vs_k,jaccard_index
residual_rank,cox_rank_abs_logHR,10,0,0.0,0.0
residual_rank,cox_rank_abs_logHR,20,0,0.0,0.0
residual_rank,cox_rank_abs_logHR,50,0,0.0,0.0
residual_rank,cox_rank_abs_logHR,100,9,0.09,0.04712041884816754
residual_rank,cox_rank_abs_logHR,200,32,0.16,0.08695652173913043
residual_rank,cox_rank_abs_logHR,500,120,0.24,0.13636363636363635
residual_rank,cox_rank_p,10,0,0.0,0.0
residual_rank,cox_rank_p,20,0,0.0,0.0
residual_rank,cox_rank_p,50,0,0.0,0.0
residual_rank,cox_rank_p,100,10,0.1,0.05263157894736842
residual_rank,cox_rank_p,200,35,0.175,0.0958904109589041
residual_rank,cox_rank_p,500,121,0.242,0.13765642775881684
gated_rank,cox_rank_abs_logHR,10,0,0.0,0.0
gated_rank,cox_rank_abs_logHR,20,2,0.1,0.05263157894736842
gated_rank,cox_rank_abs_logHR,50,4,0.08,0.041666666666666664
gated_rank,cox_rank_abs_logHR,100,13,0.13,0.06951871657754011
gated_rank,cox_rank_abs_logHR,200,34,0.17,0.09289617486338798
gated_rank,cox_rank_abs_logHR,500,144,0.288,0.16822429906542055
gated_rank,cox_rank_p,10,0,0.0,0.0
gated_rank,cox_rank_p,20,2,0.1,0.05263157894736842
gated_rank,cox_rank_p,50,4,0.08,0.041666666666666664
gated_rank,cox_rank_p,100,12,0.12,0.06382978723404255
gated_rank,cox_rank_p,200,33,0.165,0.08991825613079019
gated_rank,cox_rank_p,500,144,0.288,0.16822429906542055
